
.5249	0	0	0	0	0	0	0	0	0	0	0	0
.5259	0	0	0	0	0	0	0	0	0	0	0	0
.5269	0	0	0	0	0	0	0	0	0	0	0	0
.5279	0	0	0	0	0	0	0	0	0	0	0	1
.5289	0	0	0	0	0	0	0	0	0	0	0	1
.5299	5133	11722	8095	7368	19696	9906	2298	18798	0	92	92	1
.5309	5133	11722	8095	7368	19696	9906	2298	18798	0	92	92	1
.5319	5133	11722	8095	7368	19696	9906	2298	18798	0	92	92	1
.5329	5133	11722	8095	7368	19696	9906	2298	18798	0	92	92	1
.5339	11033	16629	1426	14638	16858	5340	19192	2247	0	90	92	1
.5349	11033	16629	1426	14638	16858	5340	19192	2247	0	90	92	1
.5359	11033	16629	1426	14638	16858	5340	19192	2247	0	90	92	1
.5370	11033	16629	1426	14638	16858	5340	19192	2247	0	90	92	1
.5380	16272	9643	8110	12196	3859	17074	15881	9984	0	88	92	1
.5391	16272	9643	8110	12196	3859	17074	15881	9984	0	88	92	1
.5402	16272	9643	8110	12196	3859	17074	15881	9984	0	88	92	1
.5412	10538	3560	19410	9839	10616	15751	18091	356	0	86	91	1
.5426	10538	3560	19410	9839	10616	15751	18091	356	0	86	91	1
.5436	10538	3560	19410	9839	10616	15751	18091	356	0	86	91	1
.5446	11661	6039	9265	793	5540	8197	16136	2209	0	84	90	1
.5456	11661	6039	9265	793	5540	8197	16136	2209	0	84	90	1
.5466	11661	6039	9265	793	5540	8197	16136	2209	0	84	90	1
.5476	11661	6039	9265	793	5540	8197	16136	2209	0	84	90	1
.5486	14020	10343	5245	12221	6491	5698	4922	11932	0	82	89	1
.5496	14020	10343	5245	12221	6491	5698	4922	11932	0	82	89	1
.5506	846	11019	8093	6199	2778	9390	2632	8239	0	80	88	1
.5516	846	11019	8093	6199	2778	9390	2632	8239	0	80	88	1
.5526	846	11019	8093	6199	2778	9390	2632	8239	0	80	88	1
.5536	8564	3258	2567	10699	13322	10669	8680	17532	0	79	87	1
.5546	8564	3258	2567	10699	13322	10669	8680	17532	0	79	87	1
.5556	14428	11250	7088	19893	9344	1147	6722	15471	0	77	86	1
.5566	14428	11250	7088	19893	9344	1147	6722	15471	0	77	86	1
.5576	14428	11250	7088	19893	9344	1147	6722	15471	0	77	86	1
.5586	19652	9242	12121	18569	4007	3318	9636	9349	0	76	85	1
.5596	19652	9242	12121	18569	4007	3318	9636	9349	0	76	85	1
.5606	19652	9242	12121	18569	4007	3318	9636	9349	0	76	85	1
.5616	13046	1277	9393	15207	6253	13284	12112	9581	0	75	84	1
.5631	13046	1277	9393	15207	6253	13284	12112	9581	0	75	84	1
.5641	13046	1277	9393	15207	6253	13284	12112	9581	0	75	84	1
.5651	8593	8454	6124	17403	10048	15203	13534	2863	0	74	83	1
.5661	8593	8454	6124	17403	10048	15203	13534	2863	0	74	83	1
.5671	8593	8454	6124	17403	10048	15203	13534	2863	0	74	83	1
.5681	5258	3650	4307	2346	8892	19967	19857	6134	0	72	82	1
.5691	5258	3650	4307	2346	8892	19967	19857	6134	0	72	82	1
.5701	5258	3650	4307	2346	8892	19967	19857	6134	0	72	82	1
.5711	18610	5747	11461	11483	16448	19149	12210	15432	0	70	81	1
.5721	18610	5747	11461	11483	16448	19149	12210	15432	0	70	81	1
.5731	18610	5747	11461	11483	16448	19149	12210	15432	0	70	81	1
.5741	1413	11184	12469	12579	8857	520	3991	16345	0	68	80	1
.5751	1413	11184	12469	12579	8857	520	3991	16345	0	68	80	1
.5761	1413	11184	12469	12579	8857	520	3991	16345	0	68	80	1
.5771	10093	10796	5782	15867	1839	8249	18939	908	0	66	79	1
.5781	10093	10796	5782	15867	1839	8249	18939	908	0	66	79	1
.5791	10093	10796	5782	15867	1839	8249	18939	908	0	66	79	1
.5801	10093	10796	5782	15867	1839	8249	18939	908	0	66	79	1
.5811	13898	7867	8665	1421	3762	9983	5421	19760	0	65	79	1
.5821	13898	7867	8665	1421	3762	9983	5421	19760	0	65	79	1
.5831	13898	7867	8665	1421	3762	9983	5421	19760	0	65	79	1
.5841	14139	4093	112	6474	1286	14615	16664	15294	0	64	78	1
.5851	14139	4093	112	6474	1286	14615	16664	15294	0	64	78	1
.5861	4598	17415	7089	18735	16936	2896	12982	5514	0	63	77	1
.5871	4598	17415	7089	18735	16936	2896	12982	5514	0	63	77	1
.5881	8757	19286	3652	6015	5505	12478	17682	15814	0	63	77	1
.5891	8757	19286	3652	6015	5505	12478	17682	15814	0	63	77	1
.5901	8556	7767	2487	14840	2236	12766	16352	7681	0	62	76	1
.5911	8556	7767	2487	14840	2236	12766	16352	7681	0	62	76	1
.5921	4873	3165	11952	7234	10192	8488	8489	18002	0	62	76	1
.5931	19035	834	10014	3401	2673	6118	19298	9084	0	61	75	1
.5941	19035	834	10014	3401	2673	6118	19298	9084	0	61	75	1
.5951	18879	2051	4804	1723	8013	369	9450	6643	0	61	74	1
.5961	18879	2051	4804	1723	8013	369	9450	6643	0	61	74	1
.5971	4053	1243	6535	339	16203	8911	18742	13262	0	60	73	1
.5981	4585	4721	7121	13064	5023	3490	17089	16516	0	59	73	1
.5991	4585	4721	7121	13064	5023	3490	17089	16516	0	59	73	1
.6001	547	18631	19119	14819	9290	17895	19469	2293	0	57	72	1
.6011	547	18631	19119	14819	9290	17895	19469	2293	0	57	72	1
.6021	9890	9982	5109	464	2441	5434	2329	6929	0	55	71	1
.6031	9890	9982	5109	464	2441	5434	2329	6929	0	55	71	1
.6041	2894	9416	10189	13274	11096	10241	2247	11724	0	53	70	1
.6051	2894	9416	10189	13274	11096	10241	2247	11724	0	53	70	1
.6061	282	58	16286	15647	18891	15391	12039	17955	0	51	69	1
.6071	282	58	16286	15647	18891	15391	12039	17955	0	51	69	1
.6081	16103	11615	4059	16948	3097	18393	3349	12861	0	50	68	1
.6091	16103	11615	4059	16948	3097	18393	3349	12861	0	50	68	1
.6101	5168	4618	15123	3943	19428	22	12151	5463	0	49	67	1
.6111	5168	4618	15123	3943	19428	22	12151	5463	0	49	67	1
.6121	5341	663	5740	14169	17212	3830	1944	13948	0	49	66	1
.6131	5341	663	5740	14169	17212	3830	1944	13948	0	49	66	1
